이름,최대인원,침실,침대,욕실,가격,detail내용,위도,경도,geometry,지하철까지거리m,지하철역,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000버퍼,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑
어반스테이 명동 님이 호스팅하는 레지던스 전체2,2,1,1,1.0,137218,,37.562549,126.99441,POINT (955348.0159920852 1951585.8139445095),127.73566590897799,충무로역,131.21705325110935,충무로역.매일경제,"POLYGON ((955448.0159920852 1951585.8139445095, 955447.5344647524 1951576.0122304766, 955446.0945201255 1951566.3049123078, 955443.7100256585 1951556.785476784, 955440.4039453364 1951547.545601273, 955436.2081185201 1951538.6742708269, 955431.1629533154 1951530.2569212075, 955425.3170374215 1951522.3746160932, 955418.7266702038 1951515.1032663907, 955411.4553205016 1951508.5128991732, 955403.5730153872 1951502.6669832792, 955395.1556657678 1951497.6218180747, 955386.2843353217 1951493.4259912584, 955377.0444598107 1951490.1199109363, 955367.5250242868 1951487.7354164692, 955357.8177061182 1951486.2954718422, 955348.0159920852 1951485.8139445095, 955338.2142780522 1951486.2954718422, 955328.5069598836 1951487.7354164692, 955318.9875243597 1951490.1199109363, 955309.7476488487 1951493.4259912584, 955300.8763184026 1951497.6218180747, 955292.4589687833 1951502.6669832792, 955284.5766636688 1951508.5128991732, 955277.3053139666 1951515.1032663907, 955270.7149467489 1951522.3746160932, 955264.869030855 1951530.2569212075, 955259.8238656503 1951538.6742708269, 955255.6280388341 1951547.545601273, 955252.321958512 1951556.785476784, 955249.9374640449 1951566.3049123078, 955248.497519418 1951576.0122304766, 955248.0159920852 1951585.8139445095, 955248.497519418 1951595.6156585424, 955249.9374640449 1951605.3229767112, 955252.321958512 1951614.842412235, 955255.6280388341 1951624.082287746, 955259.8238656503 1951632.953618192, 955264.869030855 1951641.3709678114, 955270.7149467489 1951649.2532729257, 955277.3053139666 1951656.5246226282, 955284.5766636688 1951663.1149898458, 955292.4589687833 1951668.9609057398, 955300.8763184026 1951674.0060709442, 955309.7476488487 1951678.2018977606, 955318.9875243597 1951681.5079780826, 955328.5069598836 1951683.8924725498, 955338.2142780522 1951685.3324171768, 955348.0159920852 1951685.8139445095, 955357.8177061182 1951685.3324171768, 955367.5250242868 1951683.8924725498, 955377.0444598107 1951681.5079780826, 955386.2843353217 1951678.2018977606, 955395.1556657678 1951674.0060709442, 955403.5730153872 1951668.9609057398, 955411.4553205016 1951663.1149898458, 955418.7266702038 1951656.5246226282, 955425.3170374215 1951649.2532729257, 955431.1629533154 1951641.3709678114, 955436.2081185201 1951632.953618192, 955440.4039453364 1951624.082287746, 955443.7100256585 1951614.842412235, 955446.0945201255 1951605.3229767112, 955447.5344647524 1951595.6156585424, 955448.0159920852 1951585.8139445095))",1,0,0,0
Kay 님이 호스팅하는 레지던스 전체,2,1,1,1.0,100292,,37.564752,126.993186,POINT (955241.2338157521 1951830.8079471653),216.97151242096905,을지로3가역,156.17564860690555,초동,"POLYGON ((955341.2338157521 1951830.8079471653, 955340.7522884193 1951821.0062331324, 955339.3123437924 1951811.2989149636, 955336.9278493254 1951801.7794794398, 955333.6217690032 1951792.5396039288, 955329.425942187 1951783.6682734827, 955324.3807769823 1951775.2509238634, 955318.5348610884 1951767.368618749, 955311.9444938707 1951760.0972690466, 955304.6731441685 1951753.506901829, 955296.790839054 1951747.660985935, 955288.3734894347 1951742.6158207306, 955279.5021589886 1951738.4199939142, 955270.2622834776 1951735.1139135922, 955260.7428479537 1951732.729419125, 955251.0355297851 1951731.289474498, 955241.2338157521 1951730.8079471653, 955231.4321017191 1951731.289474498, 955221.7247835505 1951732.729419125, 955212.2053480266 1951735.1139135922, 955202.9654725156 1951738.4199939142, 955194.0941420695 1951742.6158207306, 955185.6767924501 1951747.660985935, 955177.7944873357 1951753.506901829, 955170.5231376335 1951760.0972690466, 955163.9327704158 1951767.368618749, 955158.0868545219 1951775.2509238634, 955153.0416893172 1951783.6682734827, 955148.845862501 1951792.5396039288, 955145.5397821788 1951801.7794794398, 955143.1552877118 1951811.2989149636, 955141.7153430849 1951821.0062331324, 955141.2338157521 1951830.8079471653, 955141.7153430849 1951840.6096611982, 955143.1552877118 1951850.316979367, 955145.5397821788 1951859.8364148908, 955148.845862501 1951869.0762904019, 955153.0416893172 1951877.947620848, 955158.0868545219 1951886.3649704673, 955163.9327704158 1951894.2472755816, 955170.5231376335 1951901.518625284, 955177.7944873357 1951908.1089925016, 955185.6767924501 1951913.9549083957, 955194.0941420695 1951919.0000736, 955202.9654725156 1951923.1959004165, 955212.2053480266 1951926.5019807385, 955221.7247835505 1951928.8864752057, 955231.4321017191 1951930.3264198327, 955241.2338157521 1951930.8079471653, 955251.0355297851 1951930.3264198327, 955260.7428479537 1951928.8864752057, 955270.2622834776 1951926.5019807385, 955279.5021589886 1951923.1959004165, 955288.3734894347 1951919.0000736, 955296.790839054 1951913.9549083957, 955304.6731441685 1951908.1089925016, 955311.9444938707 1951901.518625284, 955318.5348610884 1951894.2472755816, 955324.3807769823 1951886.3649704673, 955329.425942187 1951877.947620848, 955333.6217690032 1951869.0762904019, 955336.9278493254 1951859.8364148908, 955339.3123437924 1951850.316979367, 955340.7522884193 1951840.6096611982, 955341.2338157521 1951830.8079471653))",1,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,2,1,1,1.0,137218,,37.56216,126.993891,POINT (955301.9469649397 1951542.9030733937),82.58452055061439,충무로역,68.43468773895525,충무로역.매일경제,"POLYGON ((955401.9469649397 1951542.9030733937, 955401.4654376069 1951533.1013593609, 955400.02549298 1951523.394041192, 955397.640998513 1951513.8746056682, 955394.3349181908 1951504.6347301572, 955390.1390913746 1951495.763399711, 955385.0939261699 1951487.3460500918, 955379.248010276 1951479.4637449775, 955372.6576430583 1951472.192395275, 955365.3862933561 1951465.6020280574, 955357.5039882417 1951459.7561121634, 955349.0866386223 1951454.710946959, 955340.2153081762 1951450.5151201426, 955330.9754326652 1951447.2090398206, 955321.4559971413 1951444.8245453534, 955311.7486789727 1951443.3846007264, 955301.9469649397 1951442.9030733937, 955292.1452509067 1951443.3846007264, 955282.4379327381 1951444.8245453534, 955272.9184972142 1951447.2090398206, 955263.6786217032 1951450.5151201426, 955254.8072912571 1951454.710946959, 955246.3899416378 1951459.7561121634, 955238.5076365233 1951465.6020280574, 955231.2362868211 1951472.192395275, 955224.6459196034 1951479.4637449775, 955218.8000037095 1951487.3460500918, 955213.7548385048 1951495.763399711, 955209.5590116886 1951504.6347301572, 955206.2529313664 1951513.8746056682, 955203.8684368994 1951523.394041192, 955202.4284922725 1951533.1013593609, 955201.9469649397 1951542.9030733937, 955202.4284922725 1951552.7047874266, 955203.8684368994 1951562.4121055955, 955206.2529313664 1951571.9315411192, 955209.5590116886 1951581.1714166303, 955213.7548385048 1951590.0427470764, 955218.8000037095 1951598.4600966957, 955224.6459196034 1951606.34240181, 955231.2362868211 1951613.6137515125, 955238.5076365233 1951620.20411873, 955246.3899416378 1951626.050034624, 955254.8072912571 1951631.0951998285, 955263.6786217032 1951635.2910266449, 955272.9184972142 1951638.597106967, 955282.4379327381 1951640.981601434, 955292.1452509067 1951642.421546061, 955301.9469649397 1951642.9030733937, 955311.7486789727 1951642.421546061, 955321.4559971413 1951640.981601434, 955330.9754326652 1951638.597106967, 955340.2153081762 1951635.2910266449, 955349.0866386223 1951631.0951998285, 955357.5039882417 1951626.050034624, 955365.3862933561 1951620.20411873, 955372.6576430583 1951613.6137515125, 955379.248010276 1951606.34240181, 955385.0939261699 1951598.4600966957, 955390.1390913746 1951590.0427470764, 955394.3349181908 1951581.1714166303, 955397.640998513 1951571.9315411192, 955400.02549298 1951562.4121055955, 955401.4654376069 1951552.7047874266, 955401.9469649397 1951542.9030733937))",1,0,0,0
효석 님이 호스팅하는 레지던스 전체,2,1,1,1.0,97978,,37.563425,126.992299,POINT (955162.1034323147 1951684.0067846198),271.23048469438794,충무로역,72.35213380332875,초동,"POLYGON ((955262.1034323147 1951684.0067846198, 955261.6219049819 1951674.2050705869, 955260.181960355 1951664.497752418, 955257.797465888 1951654.9783168943, 955254.4913855658 1951645.7384413832, 955250.2955587496 1951636.8671109371, 955245.2503935449 1951628.4497613178, 955239.404477651 1951620.5674562035, 955232.8141104333 1951613.296106501, 955225.5427607311 1951606.7057392835, 955217.6604556167 1951600.8598233894, 955209.2431059973 1951595.814658185, 955200.3717755512 1951591.6188313686, 955191.1319000402 1951588.3127510466, 955181.6124645163 1951585.9282565794, 955171.9051463477 1951584.4883119524, 955162.1034323147 1951584.0067846198, 955152.3017182817 1951584.4883119524, 955142.5944001131 1951585.9282565794, 955133.0749645892 1951588.3127510466, 955123.8350890782 1951591.6188313686, 955114.9637586321 1951595.814658185, 955106.5464090127 1951600.8598233894, 955098.6641038983 1951606.7057392835, 955091.3927541961 1951613.296106501, 955084.8023869784 1951620.5674562035, 955078.9564710845 1951628.4497613178, 955073.9113058798 1951636.8671109371, 955069.7154790636 1951645.7384413832, 955066.4093987414 1951654.9783168943, 955064.0249042744 1951664.497752418, 955062.5849596475 1951674.2050705869, 955062.1034323147 1951684.0067846198, 955062.5849596475 1951693.8084986527, 955064.0249042744 1951703.5158168215, 955066.4093987414 1951713.0352523453, 955069.7154790636 1951722.2751278563, 955073.9113058798 1951731.1464583024, 955078.9564710845 1951739.5638079217, 955084.8023869784 1951747.446113036, 955091.3927541961 1951754.7174627385, 955098.6641038983 1951761.307829956, 955106.5464090127 1951767.15374585, 955114.9637586321 1951772.1989110545, 955123.8350890782 1951776.394737871, 955133.0749645892 1951779.700818193, 955142.5944001131 1951782.08531266, 955152.3017182817 1951783.525257287, 955162.1034323147 1951784.0067846198, 955171.9051463477 1951783.525257287, 955181.6124645163 1951782.08531266, 955191.1319000402 1951779.700818193, 955200.3717755512 1951776.394737871, 955209.2431059973 1951772.1989110545, 955217.6604556167 1951767.15374585, 955225.5427607311 1951761.307829956, 955232.8141104333 1951754.7174627385, 955239.404477651 1951747.446113036, 955245.2503935449 1951739.5638079217, 955250.2955587496 1951731.1464583024, 955254.4913855658 1951722.2751278563, 955257.797465888 1951713.0352523453, 955260.181960355 1951703.5158168215, 955261.6219049819 1951693.8084986527, 955262.1034323147 1951684.0067846198))",2,0,0,0
Mona 님이 호스팅하는 공동 주택의 개인실,1,1,1,1.0,66500,,37.560885,126.984467,POINT (954468.8654075258 1951405.9720175846),164.5661800012302,명동역,2.3406752895313336,퇴계로2가.명동역,"POLYGON ((954568.8654075258 1951405.9720175846, 954568.383880193 1951396.1703035517, 954566.9439355661 1951386.4629853829, 954564.5594410991 1951376.943549859, 954561.2533607769 1951367.703674348, 954557.0575339607 1951358.832343902, 954552.012368756 1951350.4149942826, 954546.1664528621 1951342.5326891684, 954539.5760856444 1951335.2613394659, 954532.3047359422 1951328.6709722483, 954524.4224308277 1951322.8250563543, 954516.0050812084 1951317.7798911498, 954507.1337507623 1951313.5840643335, 954497.8938752513 1951310.2779840115, 954488.3744397274 1951307.8934895443, 954478.6671215588 1951306.4535449173, 954468.8654075258 1951305.9720175846, 954459.0636934928 1951306.4535449173, 954449.3563753242 1951307.8934895443, 954439.8369398003 1951310.2779840115, 954430.5970642893 1951313.5840643335, 954421.7257338432 1951317.7798911498, 954413.3083842238 1951322.8250563543, 954405.4260791094 1951328.6709722483, 954398.1547294072 1951335.2613394659, 954391.5643621895 1951342.5326891684, 954385.7184462956 1951350.4149942826, 954380.6732810909 1951358.832343902, 954376.4774542747 1951367.703674348, 954373.1713739525 1951376.943549859, 954370.7868794855 1951386.4629853829, 954369.3469348586 1951396.1703035517, 954368.8654075258 1951405.9720175846, 954369.3469348586 1951415.7737316175, 954370.7868794855 1951425.4810497863, 954373.1713739525 1951435.00048531, 954376.4774542747 1951444.2403608211, 954380.6732810909 1951453.1116912672, 954385.7184462956 1951461.5290408866, 954391.5643621895 1951469.4113460009, 954398.1547294072 1951476.6826957033, 954405.4260791094 1951483.273062921, 954413.3083842238 1951489.118978815, 954421.7257338432 1951494.1641440194, 954430.5970642893 1951498.3599708357, 954439.8369398003 1951501.6660511578, 954449.3563753242 1951504.050545625, 954459.0636934928 1951505.490490252, 954468.8654075258 1951505.9720175846, 954478.6671215588 1951505.490490252, 954488.3744397274 1951504.050545625, 954497.8938752513 1951501.6660511578, 954507.1337507623 1951498.3599708357, 954516.0050812084 1951494.1641440194, 954524.4224308277 1951489.118978815, 954532.3047359422 1951483.273062921, 954539.5760856444 1951476.6826957033, 954546.1664528621 1951469.4113460009, 954552.012368756 1951461.5290408866, 954557.0575339607 1951453.1116912672, 954561.2533607769 1951444.2403608211, 954564.5594410991 1951435.00048531, 954566.9439355661 1951425.4810497863, 954568.383880193 1951415.7737316175, 954568.8654075258 1951405.9720175846))",3,0,0,1
Jinkeun 님이 호스팅하는 공동 주택 전체,2,1,2,1.0,25999,,37.562317,126.977919,POINT (953891.4338575426 1951568.0375760386),262.67738902521523,시청역,109.62397149227851,숭례문앞,"POLYGON ((953991.4338575426 1951568.0375760386, 953990.9523302098 1951558.2358620057, 953989.5123855829 1951548.528543837, 953987.1278911158 1951539.0091083131, 953983.8218107937 1951529.769232802, 953979.6259839775 1951520.897902356, 953974.5808187728 1951512.4805527367, 953968.7349028789 1951504.5982476224, 953962.1445356612 1951497.3268979199, 953954.873185959 1951490.7365307023, 953946.9908808445 1951484.8906148083, 953938.5735312252 1951479.8454496039, 953929.7022007791 1951475.6496227875, 953920.4623252681 1951472.3435424655, 953910.9428897442 1951469.9590479983, 953901.2355715756 1951468.5191033713, 953891.4338575426 1951468.0375760386, 953881.6321435096 1951468.5191033713, 953871.924825341 1951469.9590479983, 953862.4053898171 1951472.3435424655, 953853.165514306 1951475.6496227875, 953844.29418386 1951479.8454496039, 953835.8768342406 1951484.8906148083, 953827.9945291262 1951490.7365307023, 953820.723179424 1951497.3268979199, 953814.1328122063 1951504.5982476224, 953808.2868963124 1951512.4805527367, 953803.2417311077 1951520.897902356, 953799.0459042914 1951529.769232802, 953795.7398239693 1951539.0091083131, 953793.3553295023 1951548.528543837, 953791.9153848754 1951558.2358620057, 953791.4338575426 1951568.0375760386, 953791.9153848754 1951577.8392900715, 953793.3553295023 1951587.5466082403, 953795.7398239693 1951597.0660437641, 953799.0459042914 1951606.3059192752, 953803.2417311077 1951615.1772497213, 953808.2868963124 1951623.5945993406, 953814.1328122063 1951631.4769044549, 953820.723179424 1951638.7482541574, 953827.9945291262 1951645.338621375, 953835.8768342406 1951651.184537269, 953844.29418386 1951656.2297024734, 953853.165514306 1951660.4255292898, 953862.4053898171 1951663.7316096118, 953871.924825341 1951666.116104079, 953881.6321435096 1951667.556048706, 953891.4338575426 1951668.0375760386, 953901.2355715756 1951667.556048706, 953910.9428897442 1951666.116104079, 953920.4623252681 1951663.7316096118, 953929.7022007791 1951660.4255292898, 953938.5735312252 1951656.2297024734, 953946.9908808445 1951651.184537269, 953954.873185959 1951645.338621375, 953962.1445356612 1951638.7482541574, 953968.7349028789 1951631.4769044549, 953974.5808187728 1951623.5945993406, 953979.6259839775 1951615.1772497213, 953983.8218107937 1951606.3059192752, 953987.1278911158 1951597.0660437641, 953989.5123855829 1951587.5466082403, 953990.9523302098 1951577.8392900715, 953991.4338575426 1951568.0375760386))",5,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,2,1,1,1.0,122482,,37.563841,126.993995,POINT (955312.1361244217 1951729.3520779815),267.67905578006446,충무로역,95.41783484236008,초동,"POLYGON ((955412.1361244217 1951729.3520779815, 955411.6545970889 1951719.5503639486, 955410.214652462 1951709.8430457797, 955407.830157995 1951700.323610256, 955404.5240776729 1951691.083734745, 955400.3282508566 1951682.2124042988, 955395.2830856519 1951673.7950546795, 955389.437169758 1951665.9127495652, 955382.8468025404 1951658.6413998627, 955375.5754528381 1951652.0510326452, 955367.6931477237 1951646.2051167511, 955359.2757981044 1951641.1599515467, 955350.4044676583 1951636.9641247303, 955341.1645921472 1951633.6580444083, 955331.6451566233 1951631.2735499411, 955321.9378384547 1951629.8336053141, 955312.1361244217 1951629.3520779815, 955302.3344103887 1951629.8336053141, 955292.6270922201 1951631.2735499411, 955283.1076566962 1951633.6580444083, 955273.8677811852 1951636.9641247303, 955264.9964507391 1951641.1599515467, 955256.5791011198 1951646.2051167511, 955248.6967960054 1951652.0510326452, 955241.4254463031 1951658.6413998627, 955234.8350790854 1951665.9127495652, 955228.9891631915 1951673.7950546795, 955223.9439979868 1951682.2124042988, 955219.7481711706 1951691.083734745, 955216.4420908485 1951700.323610256, 955214.0575963814 1951709.8430457797, 955212.6176517545 1951719.5503639486, 955212.1361244217 1951729.3520779815, 955212.6176517545 1951739.1537920143, 955214.0575963814 1951748.8611101832, 955216.4420908485 1951758.380545707, 955219.7481711706 1951767.620421218, 955223.9439979868 1951776.491751664, 955228.9891631915 1951784.9091012834, 955234.8350790854 1951792.7914063977, 955241.4254463031 1951800.0627561002, 955248.6967960054 1951806.6531233178, 955256.5791011198 1951812.4990392118, 955264.9964507391 1951817.5442044162, 955273.8677811852 1951821.7400312326, 955283.1076566962 1951825.0461115546, 955292.6270922201 1951827.4306060218, 955302.3344103887 1951828.8705506488, 955312.1361244217 1951829.3520779815, 955321.9378384547 1951828.8705506488, 955331.6451566233 1951827.4306060218, 955341.1645921472 1951825.0461115546, 955350.4044676583 1951821.7400312326, 955359.2757981044 1951817.5442044162, 955367.6931477237 1951812.4990392118, 955375.5754528381 1951806.6531233178, 955382.8468025404 1951800.0627561002, 955389.437169758 1951792.7914063977, 955395.2830856519 1951784.9091012834, 955400.3282508566 1951776.491751664, 955404.5240776729 1951767.620421218, 955407.830157995 1951758.380545707, 955410.214652462 1951748.8611101832, 955411.6545970889 1951739.1537920143, 955412.1361244217 1951729.3520779815))",0,0,0,0
StaynLive 님이 호스팅하는 공동 주택의 개인실,2,1,1,1.0,114375,,37.5635593,127.0041315,POINT (956207.1827223935 1951693.3271835283),163.42182491407863,동대문역사문화공원역,26.882344861706954,퇴계로6가,"POLYGON ((956307.1827223935 1951693.3271835283, 956306.7011950607 1951683.5254694954, 956305.2612504339 1951673.8181513266, 956302.8767559668 1951664.2987158028, 956299.5706756447 1951655.0588402918, 956295.3748488284 1951646.1875098457, 956290.3296836237 1951637.7701602264, 956284.4837677298 1951629.887855112, 956277.8934005122 1951622.6165054096, 956270.6220508099 1951616.026138192, 956262.7397456955 1951610.180222298, 956254.3223960762 1951605.1350570936, 956245.4510656301 1951600.9392302772, 956236.211190119 1951597.6331499552, 956226.6917545951 1951595.248655488, 956216.9844364265 1951593.808710861, 956207.1827223935 1951593.3271835283, 956197.3810083605 1951593.808710861, 956187.6736901919 1951595.248655488, 956178.154254668 1951597.6331499552, 956168.914379157 1951600.9392302772, 956160.0430487109 1951605.1350570936, 956151.6256990916 1951610.180222298, 956143.7433939772 1951616.026138192, 956136.4720442749 1951622.6165054096, 956129.8816770572 1951629.887855112, 956124.0357611633 1951637.7701602264, 956118.9905959587 1951646.1875098457, 956114.7947691424 1951655.0588402918, 956111.4886888203 1951664.2987158028, 956109.1041943532 1951673.8181513266, 956107.6642497263 1951683.5254694954, 956107.1827223935 1951693.3271835283, 956107.6642497263 1951703.1288975612, 956109.1041943532 1951712.83621573, 956111.4886888203 1951722.3556512538, 956114.7947691424 1951731.5955267649, 956118.9905959587 1951740.466857211, 956124.0357611633 1951748.8842068303, 956129.8816770572 1951756.7665119446, 956136.4720442749 1951764.037861647, 956143.7433939772 1951770.6282288646, 956151.6256990916 1951776.4741447587, 956160.0430487109 1951781.519309963, 956168.914379157 1951785.7151367795, 956178.154254668 1951789.0212171015, 956187.6736901919 1951791.4057115687, 956197.3810083605 1951792.8456561957, 956207.1827223935 1951793.3271835283, 956216.9844364265 1951792.8456561957, 956226.6917545951 1951791.4057115687, 956236.211190119 1951789.0212171015, 956245.4510656301 1951785.7151367795, 956254.3223960762 1951781.519309963, 956262.7397456955 1951776.4741447587, 956270.6220508099 1951770.6282288646, 956277.8934005122 1951764.037861647, 956284.4837677298 1951756.7665119446, 956290.3296836237 1951748.8842068303, 956295.3748488284 1951740.466857211, 956299.5706756447 1951731.5955267649, 956302.8767559668 1951722.3556512538, 956305.2612504339 1951712.83621573, 956306.7011950607 1951703.1288975612, 956307.1827223935 1951693.3271835283))",0,0,0,0
Terry 님이 호스팅하는 공동 주택 전체,2,1,1,1.0,85323,,37.5572302,126.9793303,POINT (954012.9499905924 1951002.9913112267),171.7007474069652,회현(남대문시장)역,159.57677662962746,남대문시장.회현역,"POLYGON ((954112.9499905924 1951002.9913112267, 954112.4684632596 1950993.1895971939, 954111.0285186328 1950983.482279025, 954108.6440241657 1950973.9628435012, 954105.3379438436 1950964.7229679902, 954101.1421170273 1950955.851637544, 954096.0969518226 1950947.4342879248, 954090.2510359287 1950939.5519828105, 954083.6606687111 1950932.280633108, 954076.3893190088 1950925.6902658904, 954068.5070138944 1950919.8443499964, 954060.0896642751 1950914.799184792, 954051.218333829 1950910.6033579756, 954041.9784583179 1950907.2972776536, 954032.459022794 1950904.9127831864, 954022.7517046254 1950903.4728385594, 954012.9499905924 1950902.9913112267, 954003.1482765594 1950903.4728385594, 953993.4409583908 1950904.9127831864, 953983.9215228669 1950907.2972776536, 953974.6816473559 1950910.6033579756, 953965.8103169098 1950914.799184792, 953957.3929672905 1950919.8443499964, 953949.5106621761 1950925.6902658904, 953942.2393124738 1950932.280633108, 953935.6489452561 1950939.5519828105, 953929.8030293622 1950947.4342879248, 953924.7578641576 1950955.851637544, 953920.5620373413 1950964.7229679902, 953917.2559570192 1950973.9628435012, 953914.8714625521 1950983.482279025, 953913.4315179252 1950993.1895971939, 953912.9499905924 1951002.9913112267, 953913.4315179252 1951012.7930252596, 953914.8714625521 1951022.5003434285, 953917.2559570192 1951032.0197789522, 953920.5620373413 1951041.2596544633, 953924.7578641576 1951050.1309849094, 953929.8030293622 1951058.5483345287, 953935.6489452561 1951066.430639643, 953942.2393124738 1951073.7019893455, 953949.5106621761 1951080.292356563, 953957.3929672905 1951086.138272457, 953965.8103169098 1951091.1834376615, 953974.6816473559 1951095.3792644779, 953983.9215228669 1951098.6853448, 953993.4409583908 1951101.069839267, 954003.1482765594 1951102.509783894, 954012.9499905924 1951102.9913112267, 954022.7517046254 1951102.509783894, 954032.459022794 1951101.069839267, 954041.9784583179 1951098.6853448, 954051.218333829 1951095.3792644779, 954060.0896642751 1951091.1834376615, 954068.5070138944 1951086.138272457, 954076.3893190088 1951080.292356563, 954083.6606687111 1951073.7019893455, 954090.2510359287 1951066.430639643, 954096.0969518226 1951058.5483345287, 954101.1421170273 1951050.1309849094, 954105.3379438436 1951041.2596544633, 954108.6440241657 1951032.0197789522, 954111.0285186328 1951022.5003434285, 954112.4684632596 1951012.7930252596, 954112.9499905924 1951002.9913112267))",0,0,1,0
[urbanstay] 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능 #시티뷰,2,1,1,1.0,282977,,37.564021,126.993699369,POINT (955286.1348634969 1951749.4627885679),289.4489038281909,충무로역,91.13084248130492,초동,"POLYGON ((955386.1348634969 1951749.4627885679, 955385.6533361641 1951739.661074535, 955384.2133915372 1951729.9537563662, 955381.8288970701 1951720.4343208424, 955378.522816748 1951711.1944453313, 955374.3269899318 1951702.3231148853, 955369.2818247271 1951693.905765266, 955363.4359088332 1951686.0234601516, 955356.8455416155 1951678.7521104491, 955349.5741919132 1951672.1617432316, 955341.6918867988 1951666.3158273376, 955333.2745371795 1951661.270662133, 955324.4032067334 1951657.0748353167, 955315.1633312224 1951653.7687549947, 955305.6438956985 1951651.3842605276, 955295.9365775299 1951649.9443159006, 955286.1348634969 1951649.4627885679, 955276.3331494639 1951649.9443159006, 955266.6258312953 1951651.3842605276, 955257.1063957714 1951653.7687549947, 955247.8665202603 1951657.0748353167, 955238.9951898142 1951661.270662133, 955230.5778401949 1951666.3158273376, 955222.6955350805 1951672.1617432316, 955215.4241853782 1951678.7521104491, 955208.8338181606 1951686.0234601516, 955202.9879022667 1951693.905765266, 955197.942737062 1951702.3231148853, 955193.7469102457 1951711.1944453313, 955190.4408299236 1951720.4343208424, 955188.0563354566 1951729.9537563662, 955186.6163908297 1951739.661074535, 955186.1348634969 1951749.4627885679, 955186.6163908297 1951759.2645026008, 955188.0563354566 1951768.9718207696, 955190.4408299236 1951778.4912562934, 955193.7469102457 1951787.7311318044, 955197.942737062 1951796.6024622505, 955202.9879022667 1951805.0198118698, 955208.8338181606 1951812.9021169841, 955215.4241853782 1951820.1734666866, 955222.6955350805 1951826.7638339042, 955230.5778401949 1951832.6097497982, 955238.9951898142 1951837.6549150026, 955247.8665202603 1951841.850741819, 955257.1063957714 1951845.156822141, 955266.6258312953 1951847.5413166082, 955276.3331494639 1951848.9812612352, 955286.1348634969 1951849.4627885679, 955295.9365775299 1951848.9812612352, 955305.6438956985 1951847.5413166082, 955315.1633312224 1951845.156822141, 955324.4032067334 1951841.850741819, 955333.2745371795 1951837.6549150026, 955341.6918867988 1951832.6097497982, 955349.5741919132 1951826.7638339042, 955356.8455416155 1951820.1734666866, 955363.4359088332 1951812.9021169841, 955369.2818247271 1951805.0198118698, 955374.3269899318 1951796.6024622505, 955378.522816748 1951787.7311318044, 955381.8288970701 1951778.4912562934, 955384.2133915372 1951768.9718207696, 955385.6533361641 1951759.2645026008, 955386.1348634969 1951749.4627885679))",0,0,0,0
